"Year","Final consumption expenditure","Household consumption expenditure","General government final consumption expenditure","Gross capital formation","Gross fixed capital formation","Changes in inventories","Exports of goods and services","Imports of goods and services","GDP"
"2000","5714456000","4279775000","1434681000","1679943000","1715298000","-35355000","2526565000","3073744000","6847219000"
"2001","6139227000","4604656000","1534571000","2081545000","2025315000","56230000","2839023000","3613531000","7446263000"
"2002","6890075000","5156151000","1733924000","2343797000","2043171000","300626000","3071650000","3922979000","8382543000"
"2003","7861399000","5855904000","2005495000","2875868000","2362534000","513334000","3450294000","4648513000","9539047000"
"2004","9117940000","6917972000","2199968000","3635135000","3174243000","460892000","4317994000","6036144000","11034925000"
"2005","10797364000","8364825000","2432539000","4758541000","4237679000","520862000","5870659000","7839888000","13586676000"
"2006","13952825000","11004162000","2948663000","6676189000","5823499000","852690000","6836172000","10371472000","17093713000"
"2007","17523601000","13542629000","3980972000","9363153000","8218285000","1144868000","8686850000","12984090000","22589514000"
"2008","18954758000","14138215000","4816543000","8584263000","7815381000","768882000","9629045000","12774429000","24393637000"
"2009","15016472000","11413972000","3602500000","4173542000","4223492000","-49950000","8020670000","8325785000","18884898000"
"2010","14642762000","11331315000","3311447000","3588844000","3446909000","141935000","9624988000","9889456000","17967137000"
"2011","16172785000","12466948000","3705837000","5157164000","4473615000","683549000","11738382000","12749027000","20319305000"
"2012","17153734000","13339553000","3814181000","5744647000","5540939000","203708000","13417954000","14391172000","21925163000"
"2013","18126757000","14106819000","4019938000","5485150000","5276839000","208311000","13741237000","14550131000","22803014000"
"2014","18640281000","14494805000","4145476000","5495458000","5339122000","156336000","14476868000","14958441000","23654165000"
"2015","19124731000","14709411000","4415320000","5523199000","5372034000","151165000","14831459000","15053431000","24425959000"
"2016","19614233000","15088021000","4526212000","5212107000","4899901000","312206000","15144263000","14897966000","25072637000"
"2017","20882970000","16030459000","4852511000","5873046000","5558724000","314322000","16648516000","16606699000","26797833000"
"2018","22354522000","17169505000","5185017000","6850483000","6555713000","294770000","17870755000","17924730000","29151030000"
"2000","11829611000","8203962000","3625649000","3164011000","3099779793.073459","64900950.03211304","5262170000","6072490000","14190884000"
"2001","12437613000","8637434000","3800179000","3909416000","3698513235.921236","207791195.40783557","5737748000","7022185000","15087617000"
"2002","13099967000","9142992000","3956975000","4179796000","3553976219.685183","610504658.3172768","6026379000","7212551000","16161246000"
"2003","13972493000","9882057000","4090436000","5211740000","3939095332.142586","1238805427.4245343","6266238000","8068333000","17524671000"
"2004","15189874000","10968542000","4221332000","6345756000","5055873101.153814","1256456878.066795","7126575000","9764953000","18986468000"
"2005","16449828000","12087257000","4362571000","7063349000","6112276903.261276","928380284.3930635","8801555000","11411240000","21026256000"
"2006","19065557000","14447258000","4618299000","8657392000","6988366486.491754","1626140254.4958253","9460512000","13851926000","23525876000"
"2007","20675744000","15917342000","4758402000","10416526000","8551087715.0691595","1818113008.3815029","10762024000","16255139000","25881018000"
"2008","19521830000","14655861000","4865969000","8890598000","7679887259.175269","1181741368.0796404","11017280000","14510717000","25014944000"
"2009","16674495000","12285466000","4389029000","5241070000","5024498615.228061","214381484.55362877","9597688000","9908767000","21453280000"
"2010","16525765000","12502839000","4022926000","4246632000","4033188764.5728483","210531971.22671804","10887860000","11138641000","20493580000"
"2011","17092790000","12962027000","4130763000","6192089000","4992670746.562598","1168575352.8901734","12199384000","13592628000","21781629000"
"2012","17586170000","13437268000","4148902000","6080420000","5798962407.310741","278012532.08092487","13392377000","14324068000","22682131000"
"2013","18395284000","14196265000","4199019000","5674874000","5455304295.681471","217645561.1753372","13536684000","14376500000","23210173000"
"2014","18634629000","14346627000","4288002000","5413660000","5438022706.792866","-19196110.3403982","14412484000","14804760000","23654691000"
"2015","19124731000","14709411000","4415320000","5523199000","5372034000","151165000","14831459000","15053431000","24425959000"
"2016","19473811000","14930729000","4543082000","5593775000","4933304630.473149","645276491.8111753","15419186000","15627544000","24859229000"
"2017","20084052000","15394679000","4689373000","6252128000","5491908196.209818","742578402.3121387","16403633000","16933803000","25800726000"
"2018","20922697000","16044706000","4877991000","7073260000","6360671594.772164","697046378.0989082","17052170000","18018269000","26992920000"
